repeat,outer_fold,overall_fold,estimator,best_params,inner_cv_score,accuracy,balanced_accuracy,f1,f2,precision,recall,sensitivity,specificity,npv,mcc,roc_auc,pr_auc,log_loss
2,1,6,LR_ElasticNet,"{'C': 1, 'l1_ratio': 0}",0.9973119462103126,0.970873786407767,0.9615384615384616,0.96,0.9375,1.0,0.9230769230769231,0.9230769230769231,1.0,0.9552238805970149,0.939012843656087,0.9823717948717948,0.9803646496201166,0.13805667485531897
2,1,6,GNB,{'var_smoothing': np.float64(1e-09)},0.9826395035898535,0.8932038834951457,0.8890224358974359,0.8607594936708861,0.8673469387755103,0.85,0.8717948717948718,0.8717948717948718,0.90625,0.9206349206349206,0.774331032586224,0.9695512820512822,0.9620008429164606,1.2437786140360654
2,1,6,LDA,"{'shrinkage': None, 'solver': 'svd'}",0.9868317194638913,0.912621359223301,0.8846153846153846,0.8695652173913043,0.8064516129032259,1.0,0.7692307692307693,0.7692307692307693,1.0,0.8767123287671232,0.8212150138980859,0.9775641025641025,0.9711664397030252,0.27988017984529456
2,1,6,SVM,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9966907182389599,0.970873786407767,0.9615384615384616,0.96,0.9375,1.0,0.9230769230769231,0.9230769230769231,1.0,0.9552238805970149,0.939012843656087,0.985176282051282,0.9842534288235647,0.11716797407141255
2,1,6,RF,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 150}",0.986685040637322,0.9514563106796117,0.9459134615384616,0.935064935064935,0.9278350515463919,0.9473684210526315,0.9230769230769231,0.9230769230769231,0.96875,0.9538461538461539,0.8965084614012637,0.9819711538461539,0.9779442014678514,0.1632400873572885
2,1,6,LGBM,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 150, 'num_leaves': 31}",0.9890642239567965,0.9611650485436893,0.9537259615384616,0.9473684210526315,0.9326424870466321,0.972972972972973,0.9230769230769231,0.9230769230769231,0.984375,0.9545454545454546,0.9174303138336344,0.9795673076923077,0.9780196156373564,0.27451034513537265
2,2,7,LR_ElasticNet,"{'C': 1, 'l1_ratio': 0}",0.9919297586795777,0.9902912621359223,0.986842105263158,0.9866666666666667,0.9788359788359787,1.0,0.9736842105263158,0.9736842105263158,1.0,0.9848484848484849,0.9792504375581025,0.9995951417004049,0.9993252361673411,0.046704423653766036
2,2,7,GNB,{'var_smoothing': np.float64(0.001)},0.9785181012669546,0.9611650485436893,0.952834008097166,0.9459459459459459,0.9308510638297871,0.9722222222222222,0.9210526315789473,0.9210526315789473,0.9846153846153847,0.9552238805970149,0.9164923742549432,0.9979757085020243,0.9965494580453029,0.21933249657789006
2,2,7,LDA,"{'shrinkage': None, 'solver': 'svd'}",0.9834893556145669,0.970873786407767,0.9605263157894737,0.958904109589041,0.9358288770053476,1.0,0.9210526315789473,0.9210526315789473,1.0,0.9558823529411765,0.9383058971659225,0.9987854251012146,0.9979916897506923,0.067122574768441
2,2,7,SVM,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9922409091315506,0.9805825242718447,0.9736842105263157,0.972972972972973,0.9574468085106381,1.0,0.9473684210526315,0.9473684210526315,1.0,0.9701492537313433,0.9586911737847864,0.9991902834008097,0.9986842105263156,0.045316806489433134
